Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
Billy Frampton,12676,AD,SY,1,6,2,3,9,0,0,11,2,1,0,1,4,1,3,0,6,4,1,0,2,0,0,90,2020
Bryce Gibbs,11535,AD,SY,1,2,1,5,7,0,0,0,0,2,0,0,2,1,2,0,1,5,0,0,2,0,0,75,2020
Chayce Jones,12691,AD,SY,1,6,1,0,6,1,1,0,3,0,1,0,2,0,1,0,3,6,0,1,2,0,0,81,2020
Jake Kelly,12335,AD,SY,1,5,2,3,8,0,0,0,3,2,1,0,3,2,2,0,5,3,2,0,4,0,0,95,2020
Rory Laird,12165,AD,SY,1,11,4,8,19,0,0,0,2,2,5,2,2,1,0,0,8,10,0,0,1,0,0,81,2020
Tom Lynch,11865,AD,SY,1,11,1,3,14,2,0,0,3,2,3,1,0,1,0,0,6,7,0,0,1,1,0,83,2020
Fischer McAsey,12762,AD,SY,1,3,1,2,5,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,1,0,0,85,2020
Wayne Milera,12405,AD,SY,1,10,5,5,15,0,0,0,2,4,1,0,1,0,0,0,3,11,1,0,4,1,0,80,2020
Lachlan Murphy,12585,AD,SY,1,6,2,4,10,1,1,0,6,0,2,0,3,1,0,0,6,3,0,1,2,0,2,77,2020
Reilly OBrien,12473,AD,SY,1,3,2,8,11,0,0,22,3,1,3,0,3,1,2,0,4,8,0,0,3,0,2,81,2020
Paul Seedsman,12035,AD,SY,1,10,2,4,14,0,0,0,4,3,2,2,5,0,1,0,4,11,0,0,0,3,0,84,2020
Rory Sloane,11792,AD,SY,1,6,1,11,17,1,1,0,7,1,5,9,2,4,2,0,15,3,0,0,2,0,0,80,2020
Brodie Smith,11891,AD,SY,1,6,2,1,7,0,1,0,2,1,1,0,0,0,0,0,3,3,1,1,0,0,0,60,2020
Tyson Stengle,12552,AD,SY,1,3,0,8,11,1,0,0,2,0,0,0,0,0,0,0,5,4,0,0,0,0,0,86,2020
Daniel Talia,11989,AD,SY,1,9,3,4,13,0,0,0,0,2,3,0,1,0,1,0,7,5,1,0,7,0,0,95,2020
Taylor Walker,11713,AD,SY,1,5,2,2,7,2,1,1,2,0,3,0,3,1,2,0,6,1,2,1,2,0,0,82,2020
Karl Amon,12357,PA,GC,1,15,6,6,21,0,2,0,2,1,3,1,3,0,1,0,4,17,0,1,1,0,1,84,2020
Travis Boak,11583,PA,GC,1,12,2,13,25,0,0,0,4,1,5,7,1,0,0,3,12,14,0,0,1,0,1,78,2020
Ryan Burton,12477,PA,GC,1,13,6,5,18,0,0,0,3,2,2,2,0,0,0,0,7,8,1,0,4,0,0,81,2020
Zak Butters,12698,PA,GC,1,8,2,4,12,1,0,0,0,0,3,0,5,1,0,0,3,10,0,0,1,0,1,79,2020
Darcy Byrne-Jones,12422,PA,GC,1,16,5,9,25,0,1,0,1,4,3,0,0,0,0,2,7,16,0,0,3,0,0,86,2020
Tom Clurey,12238,PA,GC,1,7,6,5,12,0,0,0,1,2,1,0,2,0,1,0,2,10,1,0,7,0,0,92,2020
Xavier Duursma,12696,PA,GC,1,12,4,6,18,0,1,0,0,0,1,1,2,2,0,0,9,9,0,0,0,0,1,89,2020
Brad Ebert,11639,PA,GC,1,11,8,9,20,1,3,0,6,0,3,0,2,1,0,0,7,13,0,2,1,0,0,84,2020
Mitch Georgiades,12766,PA,GC,1,8,3,3,11,2,0,0,2,0,3,0,3,4,1,0,5,6,0,2,1,0,0,81,2020
Robbie Gray,11578,PA,GC,1,11,6,7,18,0,1,0,3,0,4,3,1,1,1,0,6,11,1,2,1,1,1,93,2020
Hamish Hartlett,11740,PA,GC,1,6,3,4,10,1,0,0,2,2,1,0,0,1,0,0,1,8,0,0,1,0,0,54,2020
Dan Houston,12495,PA,GC,1,8,4,11,19,0,0,0,6,0,2,4,2,0,1,0,6,12,0,0,1,0,0,85,2020
Tom Jonas,12002,PA,GC,1,4,3,4,8,0,0,0,6,2,1,0,3,0,1,0,4,4,1,0,4,0,0,93,2020
Jarrod Lienert,12659,PA,GC,1,7,2,4,11,0,0,0,2,4,1,0,1,0,0,0,2,7,0,0,2,0,0,89,2020
Scott Lycett,11994,PA,GC,1,4,2,6,10,0,0,22,0,1,3,2,2,2,0,0,5,5,0,1,2,0,0,71,2020
Todd Marshall,12575,PA,GC,1,6,4,4,10,2,2,2,2,1,1,0,0,1,0,0,5,6,0,2,1,0,0,79,2020
Trent McKenzie,11912,PA,GC,1,12,7,3,15,0,0,0,1,4,1,0,4,0,2,0,4,10,2,0,2,0,0,85,2020
